Species,Genus,Family,SuperFamily,Order,Class,Major,J_per_mgWM,Mobility_code,Food_code
Crassostrea virginica,Crassostrea,Ostreidae,Ostreoida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Crassostrea rhizophorae,Crassostrea,Ostreidae,Ostreoida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Ostrea edulis,Ostrea,Ostreidae,Ostreoida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Ostrea edulis,Ostrea,Ostreidae,Ostreoida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Crassostrea angulata,Crassostrea,Ostreidae,Ostreoida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Crassostrea angulata,Crassostrea,Ostreidae,Ostreoida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Venus gallina,Venus,Veneridae,Veneroida,Heterodonta,Bivalvia,Mollusca,,0.0,1.0
Cambarus bartonii,Cambarus,Cambaridae,Stenopodidea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Baetis sp.,Baetis,Baetidae,Pisciforma,Ephemeroptera,Pterygota,Insecta,,1.0,1.0
Serratella sp.,Serratella,Ephemerellidae,Furcatergalia,Ephemeroptera,Pterygota,Insecta,,3.0,1.0
Ephemera sp.,Ephemera,Ephemeridae,Furcatergalia,Ephemeroptera,Pterygota,Insecta,,3.0,1.0
Epeorus dispar,Epeorus,Heptageniidae,Setisura,Ephemeroptera,Pterygota,Insecta,,1.0,1.0
Epeorus pleuralis,Epeorus,Heptageniidae,Setisura,Ephemeroptera,Pterygota,Insecta,,1.0,1.0
Leucrocuta sp.,Leucrocuta,Heptageniidae,Setisura,Ephemeroptera,Pterygota,Insecta,,1.0,1.0
Nixe sp.,Nixe,Heptageniidae,Setisura,Ephemeroptera,Pterygota,Insecta,,1.0,1.0
Stenacron carolina,Stenacron,Heptageniidae,Setisura,Ephemeroptera,Pterygota,Insecta,,1.0,1.0
Stenacron meririvulanum,Stenacron,Heptageniidae,Setisura,Ephemeroptera,Pterygota,Insecta,,1.0,1.0
Habrophlebia vibrans,Habrophlebia,Leptophlebiidae,Furcatergalia,Ephemeroptera,Pterygota,Insecta,,1.0,1.0
Paraleptophlebia sp.,Paraleptophlebia,Leptophlebiidae,Furcatergalia,Ephemeroptera,Pterygota,Insecta,,1.0,1.0
Siphlonisca aerodromia,Siphlonisca,Siphlonuridae,Pisciforma,Ephemeroptera,Pterygota,Insecta,,1.0,1.0
Siphlonurus sp.,Siphlonurus,Siphlonuridae,Pisciforma,Ephemeroptera,Pterygota,Insecta,,1.0,1.0
Allocapnia sp.,Allocapnia,Capniidae,Euholognatha,Plecoptera,Pterygota,Insecta,,1.0,2.0
Sweltsa sp.,Sweltsa,Chloroperlidae,Systellognatha,Plecoptera,Pterygota,Insecta,,1.0,2.0
Leuctra sp.,Leuctra,Leuctridae,Euholognatha,Plecoptera,Pterygota,Insecta,,1.0,2.0
Amphinemura sp.,Amphinemura,Nemouridae,Euholognatha,Plecoptera,Pterygota,Insecta,,1.0,2.0
Tallaperla sp.,Tallaperla,Peltoperlidae,Systellognatha,Plecoptera,Pterygota,Insecta,,1.0,2.0
Beloneuria georgiana,Beloneuria,Perlidae,Systellognatha,Plecoptera,Pterygota,Insecta,,1.0,2.0
Isoperla sp.,Isoperla,Perlodidae,Systellognatha,Plecoptera,Pterygota,Insecta,,1.0,2.0
Malirekus hastatus,Malirekus,Perlodidae,Systellognatha,Plecoptera,Pterygota,Insecta,,1.0,2.0
Pteronarcys scotti,Pteronarcys,Pteronarcyidae,Systellognatha,Plecoptera,Pterygota,Insecta,,1.0,2.0
Strophopteryx limata,Strophopteryx,Taeniopterygidae,Euholognatha,Plecoptera,Pterygota,Insecta,,1.0,2.0
Brachycentrus etowahensis,Brachycentrus,Brachycentridae,Limnephiloidea,Trichoptera,Pterygota,Insecta,,1.0,1.0
Micrasema sp.,Micrasema,Brachycentridae,Limnephiloidea,Trichoptera,Pterygota,Insecta,,1.0,1.0
Glossosoma sp.,Glossosoma,Glossosomatidae,Glossosomatoidea,Trichoptera,Pterygota,Insecta,,1.0,1.0
Helicopsyche sp.,Helicopsyche,Helicopsychidae,Sericostomatoidea ,Trichoptera,Pterygota,Insecta,,1.0,1.0
Hydropsyche sparna,Hydropsyche,Hydropsychidae,Hydropsychoidea,Trichoptera,Pterygota,Insecta,,1.0,1.0
Limnephilus sp.,Limnephilus,Lepidostomatidae,Limnephiloidea,Trichoptera,Pterygota,Insecta,,1.0,1.0
Psilotreta sp.,Psilotreta,Odontoceridae,Leptoceroidea,Trichoptera,Pterygota,Insecta,,1.0,1.0
Chimarra sp.,Chimarra,Philopotamidae,Philopotamoidea,Trichoptera,Pterygota,Insecta,,1.0,1.0
Petrophila sp.,Petrophila,Crambidae,Pyraloidea,Lepidoptera,Pterygota,Insecta,,1.0,1.0
Galerucella nymphaeae,Galerucella,Chrysomelidae,Chrysomeloidea,Coleoptera,Pterygota,Insecta,,2.0,1.0
Optioservus sp.,Optioservus,Elmidae,Byrrhoidea,Coleoptera,Pterygota,Insecta,,2.0,3.0
Psephenus sp.,Psephenus,Psephenidae,Byrrhoidea,Coleoptera,Pterygota,Insecta,,2.0,3.0
Anchytarsus bicolor,Anchytarsus,Ptilodactylidae,Byrrhoidea,Coleoptera,Pterygota,Insecta,,2.0,3.0
Atherix sp.,Atherix,Athericidae,Brachycera,Diptera,Pterygota,Insecta,,1.0,2.0
Blepharicea sp.,Blepharicea,Blephariceridae,Nematocera,Diptera,Pterygota,Insecta,,1.0,2.0
Empididae,Taxon > Genus,Empididae,Brachycera,Diptera,Pterygota,Insecta,,1.0,2.0
Sciaridae,Taxon > Genus,Sciaridae,Nematocera,Diptera,Pterygota,Insecta,,1.0,2.0
Simulium sp.,Simulium,Simuliidae,Nematocera,Diptera,Pterygota,Insecta,,1.0,1.0
Dicranota sp.,Dicranota,Tipulidae,Nematocera,Diptera,Pterygota,Insecta,,1.0,1.0
