ScientificName,AreaID,Year,SampleID,flagged_density,typical_density,robust_z,was_dropped
Macroramphosus scolopax,1,2018,ESP_1_MOL_2018_65_5_13,2.10886637150659,0.00206381905430098,439.730775615371,FALSE
Pagurus excavatus,9,2016,ITA_9_SAN_2016_20_6_12,0.960457271364318,0.00188162189786406,436.446474274215,FALSE
Myctophum punctatum,1,2000,ESP_1_COR_2000_3_5_22,0.117109956995198,0.00029769463113498,432.087324916421,FALSE
Spatangus purpureus,6,2018,ESP_6_MOL_2018_163_6_7,2.63489924664666,0.00256461649542906,431.153806795929,FALSE
Aphia minuta,1,2004,ESP_1_COR_2004_4_5_7,0.0264681589026129,0.000171122331899122,421.283021640745,FALSE
Glossanodon leioglossus,6,2013,ESP_6_COR_2013_74_5_28,0.699517157478361,0.000917810349368971,419.513071991284,FALSE
Glossanodon leioglossus,6,2018,ESP_6_MOL_2018_116_5_26,0.697070456939199,0.000917810349368971,418.371488588666,FALSE
Typton spongicola,5,2016,ESP_5_MOL_2016_192_6_11,0.0507026601311693,0.00042577933798466,416.567027392814,FALSE
Leptometra phalangium,6,2021,ESP_6_MOL_2021_160_6_3,0.255054022512517,0.000389777734978654,416.172287071844,FALSE
Funiculina quadrangularis,6,2018,ESP_6_MOL_2018_93_5_21,1.11848117816316,0.00125884529554254,415.125387329014,FALSE
Ophiothrix fragilis,7,2013,FRA_7_LEU_2013_43_6_9,0.0246421834650304,6.11565934962001e-05,414.350874412933,FALSE
Antedon spp.,7,2014,FRA_7_LEU_2014_27_6_6,0.107967872885849,0.000203592272542189,414.286251648201,FALSE
Glossanodon leioglossus,6,2020,ESP_6_MOL_2020_33_6_5,0.686835768623621,0.000917810349368971,413.578270374212,FALSE
Isidella elongata,8,2015,FRA_8_LEU_2015_21_5_30,0.526655010122361,0.000698522504468135,412.599914201567,FALSE
Leptometra phalangium,6,2019,ESP_6_MOL_2019_133_5_31,0.251536451989218,0.000389777734978654,411.021886095424,FALSE
Symbolophorus veranyi,1,1994,ESP_1_COR_1994_18_6_1,0.206725974213901,0.000390408806983971,410.026967526774,FALSE
Maurolicus muelleri,1,1999,ESP_1_COR_1999_1_5_4,0.404237869848986,0.000675115295152837,407.962048261872,FALSE
Paguristes eremita,6,1995,ESP_6_COR_1995_90_5_18,0.467142857142857,0.000867400487479074,406.354784791277,FALSE
Macropodia linaresi,1,2019,ESP_1_MOL_2019_54_5_10,0.0182053076148634,0.000240283534570794,406.321937813572,FALSE
Umbraculum umbraculum,11,2019,ITA_11_GIS_2019_12_6_5,3.13695965869879,0.00323695945480721,401.677713203214,FALSE
Glossanodon leioglossus,6,2021,ESP_6_MOL_2021_161_6_3,0.661558033623838,0.000917810349368971,401.614186404781,FALSE
Eusergestes arcticus,6,2021,ESP_6_MOL_2021_158_6_2,0.317816380049963,0.000587181131286655,400.357143497451,FALSE
Munida intermedia,9,2016,ITA_9_SAN_2016_83_5_25,0.875935658544354,0.00147535597900008,397.778278356215,FALSE
Microcosmus sabatieri,8,2001,FRA_8_LEU_2001_17_6_7,0.238689675985624,0.0008471435378832,396.809990437909,FALSE
Leptopentacta elongata,7,2012,FRA_7_LEU_2012_49_6_10,0.770512609540238,0.00114538327112666,395.054674888129,FALSE
Benthosema glaciale,5,2021,ESP_5_MOL_2021_240_8_18,0.0394372581772033,0.000127593605585705,395.03466808563,FALSE
Turritella spp.,6,2014,ESP_6_MOL_2014_121_5_24,0.0385683431039803,8.48442683454519e-05,394.127564675559,FALSE
Suberites domuncula,11,2021,ITA_11_GIS_2021_40_8_30,6.19874962364734,0.00416850247213445,388.302724499118,FALSE
Argentina sphyraena,6,1997,ESP_6_COR_1997_58_5_25,5.73681250893386,0.00460240203740297,386.038850946349,FALSE
Leptometra phalangium,6,2018,ESP_6_MOL_2018_158_6_6,0.233962539145577,0.000389777734978654,385.071522772953,FALSE
Veretillum cynomorium,7,2013,FRA_7_LEU_2013_53_6_13,0.25894528437725,0.00051190777713353,384.779221835061,FALSE
Plesionika narval,5,2014,ESP_5_MOL_2014_190_6_10,0.0383169645903153,0.000182222794442916,383.765961893088,FALSE
Munida tenuimana,5,2007,ESP_5_COR_2007_147_6_24,0.42019362891637,0.000838416622261638,383.488230931926,FALSE
Meganyctiphanes norvegica,6,2021,ESP_6_MOL_2021_98_5_20,0.330432787342828,0.000994311173877226,379.970739125391,FALSE
Alpheus glaber,6,2005,ESP_6_COR_2005_104_6_2,0.119396866406653,0.000349524419027886,373.406367557946,FALSE
Munida intermedia,6,2011,ESP_6_COR_2011_41_5_17,2.52316263297067,0.00261143576738491,373.373320886428,FALSE
Eusergestes arcticus,6,2021,ESP_6_MOL_2021_154_6_1,0.293348728274593,0.000587181131286655,373.11122214001,FALSE
Munida intermedia,9,2017,ITA_9_SAN_2017_94_10_9,0.798896457693107,0.00147535597900008,371.201459684284,FALSE
Leptopentacta elongata,6,2016,ESP_6_MOL_2016_132_5_26,0.0428090247069228,0.000137130194148929,370.261973277268,FALSE
Microcosmus spp.,11,2013,ITA_11_GIS_2013_48_7_12,12.688460964323,0.00605812416617455,364.964060558162,FALSE
