Year,FG_num,FG_name,mean_density,n_areas_contributing,n_samples_total
2001,53,No commercial small demersal fish,0.157655565904209,8,571
2001,40,Scorpaenidae+,0.281855482306289,8,571
2001,28,European conger,0.0259597494934136,8,515
2001,64,Bivalves,0.00148033544812866,5,285
2001,37,Common two-banded seabream,0.0346929021539057,5,111
2001,29,European hake juv.,0.513707784144635,8,571
2001,50,Red mullet,0.106806018836013,7,455
2001,51,Surmullet,0.0207327078263649,8,571
2001,60,Coastal benthic cephalopods,0.260033358721664,7,365
2001,46,No commercial medium demersal fish,0.0762714179234752,8,487
2001,34,Common pandora,0.0906877962729396,7,312
2001,77,Sea cucumbers,0.00248857313747424,4,255
2001,58,Rays and skates,0.427881483041973,8,518
2001,55,Small-spotted catshark,0.123111531674221,8,494
2001,63,Other benthic cephalopods,0.0938508734251764,8,571
2001,43,Labridae and serranidae+,0.0962543809628706,8,383
2001,24,Other small pelagic fish,0.741558197174645,8,391
2001,59,Torpedos,0.0133327236378259,7,327
2001,17,Horse mackerels,3.39936127299457,8,571
2001,65,Gastropods,0.00103919959412442,5,276
2001,45,Other commercial medium demersal fish,0.13889076382626,8,570
2002,64,Bivalves,0.0166048720351687,4,248
2002,61,Benthopelagic cephalopods,0.0715685038191044,7,485
2002,18,Other medium pelagic fishes,0.176116010804267,4,83
2002,74,Non-commercial decapods,0.261436313716881,7,400
2002,43,Labridae and serranidae+,0.0679905352399626,6,290
2002,44,Flatfishes,0.223368127081398,7,485
2002,65,Gastropods,0.00166304456950787,6,280
2002,53,No commercial small demersal fish,0.0826563968654591,7,485
2002,35,Sparidae+,1.02941297396188,7,485
2002,48,Mugilidae,0.802451149162381,4,41
2002,28,European conger,0.0274761655447169,7,442
2002,37,Common two-banded seabream,0.0289608002663399,5,123
2002,46,No commercial medium demersal fish,0.0510794780772535,7,449
2002,63,Other benthic cephalopods,0.0963332913168654,7,485
2002,27,Anglerfish,0.127106206662504,7,459
2002,73,Other commercial decapods,0.00917043508981151,5,146
2002,29,European hake juv.,0.422817979221469,7,485
